"Title","Year","DOI","Link"
"Simulating infection prevention and control through virtual reality: a vehicle for equity, diversity, and inclusivity in Africa","2023","10.3389/feduc.2023.1214321","https://www.scopus.com/pages/publications/85174566683?origin=resultslist"
"Health Care and Social Work Students’ Experiences With a Virtual Reality Simulation Learning Activity: Qualitative Study","2023","10.2196/49372","https://www.scopus.com/pages/publications/85176752994?origin=resultslist"
"Software architecture system to automate the admission process in the higher education institutions","2019","10.35940/ijitee.A9193.119119","https://www.scopus.com/pages/publications/85075141665?origin=resultslist"
"Exploring Diminished Reality for Attention Support: A Co-Design Study with Students with ADHD","2026","10.1145/3800645.3813095","https://www.scopus.com/pages/publications/105042992588?origin=resultslist"
"Towards an implementation of immersive experience application for marketing and promotion through virtual exhibition","2022","10.1016/j.simpa.2022.100439","https://www.scopus.com/pages/publications/85141977254?origin=resultslist"
"Using Immersive Virtual Reality in an Online Biology Course","2023","10.1007/s41979-023-00095-9","https://www.scopus.com/pages/publications/85159286443?origin=resultslist"
"Application of AI-driven virtual reality (VR) in improving higher education student’s learning and engagement","2026","10.1007/s10639-026-13912-6","https://www.scopus.com/pages/publications/105032165023?origin=resultslist"
"Suicidal Ideation and Sensation Seeking Predict Suicidal Completion in Virtual Reality: Considerations for the Future Use of Virtual Reality for the Study of Suicidality","2025","10.1007/s41347-024-00414-w","https://www.scopus.com/pages/publications/85193351633?origin=resultslist"
"Mobile augmented reality learning objects in higher education","2019","10.25304/rlt.v27.2133","https://www.scopus.com/pages/publications/85066993063?origin=resultslist"
"A comparative analysis between ChatGPT & Google as learning platforms: The role of mediators in the acceptance of learning platform","2024","10.5267/j.ijdns.2024.6.016","https://www.scopus.com/pages/publications/85199511901?origin=resultslist"
"Impact of Virtual Imaging Technology on Film and Television Production Education of College Students Based on Deep Learning and Internet of Things","2022","10.3389/fpsyg.2021.766634","https://www.scopus.com/pages/publications/85128450341?origin=resultslist"
"Development of the MARPEX App Embedding the Mobile Augmented Reality Factors for Learning Motivation in Science Experiments","2020","10.3991/ijim.v14i17.16641","https://www.scopus.com/pages/publications/85097231386?origin=resultslist"
"The Use of Extended Reality (XR) in Higher Education: A Systematic Review","2025","10.1007/s11528-025-01092-y","https://www.scopus.com/pages/publications/105005099499?origin=resultslist"
"Use of augmented reality (Ar) to aid bioscience education and enrich student experience","2021","10.25304/rlt.v29.2572","https://www.scopus.com/pages/publications/85099840364?origin=resultslist"
"The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students","2025","10.18178/ijiet.2025.15.5.2303","https://www.scopus.com/pages/publications/105006852497?origin=resultslist"
"The use of augmented reality for inquiry-based activity about the phenomenon of seasons: effect on mental effort and learning outcomes","2023","10.3389/feduc.2023.1223656","https://www.scopus.com/pages/publications/85167912036?origin=resultslist"
"Enhancing mathematical literacy ability through guided inquiry learning with augmented reality","2023","10.20448/jeelr.v10i1.4338","https://www.scopus.com/pages/publications/85147751007?origin=resultslist"
"Augmented reality technology in a basic Chinese vocabulary course: a study in a Thai university","2025","10.1080/2331186X.2024.2446088","https://www.scopus.com/pages/publications/85213964825?origin=resultslist"
